date,disp
2023-05-01,0
2023-05-02,0.99405
2023-05-03,1.85292
2023-05-04,3.15305
2023-05-05,4.52923
2023-05-06,4.28865
2023-05-07,3.74205
2023-05-08,5.24478
2023-05-09,6.10073
2023-05-10,5.88626
2023-05-11,6.88317
2023-05-12,7.7988
2023-05-13,7.7885
2023-05-14,9.38779
2023-05-15,10.43555
2023-05-16,11.93832
2023-05-17,12.80881
2023-05-18,13.7119
2023-05-19,14.39996
2023-05-20,16.21204
2023-05-21,15.89089
2023-05-22,16.50678
2023-05-23,17.28286
2023-05-24,19.6611
2023-05-25,20.76316
2023-05-26,21.69682
2023-05-27,22.77007
2023-05-28,22.38481
2023-05-29,23.36634
2023-05-30,26.08704
2023-05-31,26.96044
2023-06-01,27.65784
2023-06-02,27.42628
2023-06-03,27.82702
2023-06-04,28.8057
2023-06-05,29.6275
2023-06-06,30.92633
2023-06-07,31.83915
2023-06-08,32.57164
2023-06-09,33.01665
2023-06-10,33.4958
2023-06-11,34.02068
2023-06-12,33.48815
2023-06-13,34.78673
2023-06-14,36.15933
2023-06-15,36.03415
2023-06-16,38.62273
2023-06-17,37.57419
2023-06-18,40.1417
2023-06-19,41.01233
2023-06-20,40.7672
2023-06-21,42.97458
2023-06-22,43.51601
2023-06-23,45.04296
2023-06-24,46.47222
2023-06-25,46.62438
2023-06-26,47.25841
2023-06-27,47.22456
2023-06-28,49.21306
2023-06-29,50.88943
2023-06-30,51.32139
2023-07-01,51.86389
2023-07-02,52.14783
2023-07-03,52.66803
2023-07-04,53.97012
2023-07-05,53.09657
2023-07-06,53.97278
2023-07-07,54.12746
2023-07-08,54.71401
2023-07-09,55.09807
2023-07-10,55.26803
2023-07-11,54.99633
2023-07-12,56.33953
2023-07-13,57.10413
2023-07-14,59.33679
2023-07-15,61.47709
2023-07-16,62.8171
2023-07-17,64.01942
2023-07-18,65.25483
2023-07-19,66.44135
2023-07-20,66.76445
2023-07-21,67.77381
2023-07-22,69.48974
2023-07-23,69.31107
2023-07-24,71.24913
2023-07-25,71.8505
2023-07-26,73.84664
2023-07-27,74.31457
2023-07-28,76.58461
2023-07-29,76.99652
2023-07-30,80.65449
2023-07-31,87.48866
2023-08-01,93.67361
2023-08-02,98.74339
2023-08-03,106.75565
2023-08-04,116.20863
2023-08-05,140.77186
2023-08-06,177.05779
2023-08-07,220.19191
2023-08-08,300
